iso_code,country,date,owid_population_density
AFG,Afghanistan,2020-09-26,54.422
AFG,Afghanistan,2020-09-27,54.422
AFG,Afghanistan,2020-09-28,54.422
AFG,Afghanistan,2020-09-29,54.422
AFG,Afghanistan,2020-09-30,54.422
AFG,Afghanistan,2020-10-01,54.422
AFG,Afghanistan,2020-10-02,54.422
AFG,Afghanistan,2020-10-03,54.422
AFG,Afghanistan,2020-10-04,54.422
AFG,Afghanistan,2020-10-05,54.422
AFG,Afghanistan,2020-10-06,54.422
AFG,Afghanistan,2020-10-07,54.422
AFG,Afghanistan,2020-10-08,54.422
AFG,Afghanistan,2020-10-09,54.422
AFG,Afghanistan,2020-10-10,54.422
AFG,Afghanistan,2020-10-11,54.422
AFG,Afghanistan,2020-10-12,54.422
AFG,Afghanistan,2020-10-13,54.422
AFG,Afghanistan,2020-10-14,54.422
AFG,Afghanistan,2020-10-15,54.422
AFG,Afghanistan,2020-10-16,54.422
AFG,Afghanistan,2020-10-17,54.422
AFG,Afghanistan,2020-10-18,54.422
AFG,Afghanistan,2020-10-19,54.422
AFG,Afghanistan,2020-10-20,54.422
AFG,Afghanistan,2020-10-21,54.422
AFG,Afghanistan,2020-10-22,54.422
AFG,Afghanistan,2020-10-23,54.422
AFG,Afghanistan,2020-10-24,54.422
AFG,Afghanistan,2020-10-25,54.422
AFG,Afghanistan,2020-10-26,54.422
AFG,Afghanistan,2020-10-27,54.422
AFG,Afghanistan,2020-10-28,54.422
AFG,Afghanistan,2020-10-29,54.422
AFG,Afghanistan,2020-10-30,54.422
AFG,Afghanistan,2020-10-31,54.422
AFG,Afghanistan,2020-11-01,54.422
AFG,Afghanistan,2020-11-02,54.422
AFG,Afghanistan,2020-11-03,54.422
AFG,Afghanistan,2020-11-04,54.422
AFG,Afghanistan,2020-11-05,54.422
AFG,Afghanistan,2020-11-06,54.422
AFG,Afghanistan,2020-11-07,54.422
AFG,Afghanistan,2020-11-08,54.422
AFG,Afghanistan,2020-11-09,54.422
AGO,Angola,2020-03-22,23.89
AGO,Angola,2020-03-23,23.89
AGO,Angola,2020-03-24,23.89
AGO,Angola,2020-03-25,23.89
AGO,Angola,2020-03-26,23.89
AGO,Angola,2020-03-27,23.89
AGO,Angola,2020-03-28,23.89
AGO,Angola,2020-03-29,23.89
AGO,Angola,2020-03-30,23.89
AGO,Angola,2020-03-31,23.89
AGO,Angola,2020-04-01,23.89
AGO,Angola,2020-04-02,23.89
AGO,Angola,2020-04-03,23.89
AGO,Angola,2020-04-04,23.89
AGO,Angola,2020-04-05,23.89
AGO,Angola,2020-04-06,23.89
AGO,Angola,2020-04-07,23.89
AGO,Angola,2020-04-08,23.89
AGO,Angola,2020-04-09,23.89
AGO,Angola,2020-04-10,23.89
AGO,Angola,2020-04-11,23.89
AGO,Angola,2020-04-12,23.89
AGO,Angola,2020-04-13,23.89
AGO,Angola,2020-04-14,23.89
AGO,Angola,2020-04-15,23.89
AGO,Angola,2020-04-16,23.89
AGO,Angola,2020-04-17,23.89
AGO,Angola,2020-04-18,23.89
AGO,Angola,2020-04-19,23.89
AGO,Angola,2020-04-20,23.89
AGO,Angola,2020-04-21,23.89
AGO,Angola,2020-04-22,23.89
AGO,Angola,2020-04-23,23.89
AGO,Angola,2020-04-24,23.89
AGO,Angola,2020-04-25,23.89
AGO,Angola,2020-04-26,23.89
AGO,Angola,2020-04-27,23.89
AGO,Angola,2020-04-28,23.89
AGO,Angola,2020-04-29,23.89
AGO,Angola,2020-04-30,23.89
AGO,Angola,2020-05-01,23.89
AGO,Angola,2020-05-02,23.89
AGO,Angola,2020-05-03,23.89
AGO,Angola,2020-05-04,23.89
AGO,Angola,2020-05-05,23.89
AGO,Angola,2020-05-06,23.89
AGO,Angola,2020-05-07,23.89
AGO,Angola,2020-05-08,23.89
AGO,Angola,2020-05-09,23.89
AGO,Angola,2020-05-10,23.89
AGO,Angola,2020-05-11,23.89
AGO,Angola,2020-05-12,23.89
AGO,Angola,2020-05-13,23.89
AGO,Angola,2020-05-14,23.89
AGO,Angola,2020-05-15,23.89
AGO,Angola,2020-05-16,23.89
AGO,Angola,2020-05-17,23.89
AGO,Angola,2020-05-18,23.89
AGO,Angola,2020-05-19,23.89
AGO,Angola,2020-05-20,23.89
AGO,Angola,2020-05-21,23.89
AGO,Angola,2020-05-22,23.89
AGO,Angola,2020-05-23,23.89
AGO,Angola,2020-05-24,23.89
AGO,Angola,2020-05-25,23.89
AGO,Angola,2020-05-26,23.89
AGO,Angola,2020-05-27,23.89
AGO,Angola,2020-05-28,23.89
AGO,Angola,2020-05-29,23.89
AGO,Angola,2020-05-30,23.89
AGO,Angola,2020-05-31,23.89
AGO,Angola,2020-06-01,23.89
AGO,Angola,2020-06-02,23.89
AGO,Angola,2020-06-03,23.89
AGO,Angola,2020-06-04,23.89
AGO,Angola,2020-06-05,23.89
AGO,Angola,2020-06-06,23.89
AGO,Angola,2020-06-07,23.89
AGO,Angola,2020-06-08,23.89
AGO,Angola,2020-06-09,23.89
AGO,Angola,2020-06-10,23.89
AGO,Angola,2020-06-11,23.89
AGO,Angola,2020-06-12,23.89
AGO,Angola,2020-06-13,23.89
AGO,Angola,2020-06-14,23.89
AGO,Angola,2020-06-15,23.89
AGO,Angola,2020-06-16,23.89
AGO,Angola,2020-06-17,23.89
AGO,Angola,2020-06-18,23.89
AGO,Angola,2020-06-19,23.89
AGO,Angola,2020-06-20,23.89
AGO,Angola,2020-06-21,23.89
AGO,Angola,2020-06-22,23.89
AGO,Angola,2020-06-23,23.89
AGO,Angola,2020-06-24,23.89
AGO,Angola,2020-06-25,23.89
AGO,Angola,2020-06-26,23.89
AGO,Angola,2020-06-27,23.89
AGO,Angola,2020-06-28,23.89
AGO,Angola,2020-06-29,23.89
AGO,Angola,2020-06-30,23.89
AGO,Angola,2020-07-01,23.89
AGO,Angola,2020-07-02,23.89
AGO,Angola,2020-07-03,23.89
AGO,Angola,2020-07-04,23.89
AGO,Angola,2020-07-05,23.89
AGO,Angola,2020-07-06,23.89
AGO,Angola,2020-07-07,23.89
AGO,Angola,2020-07-08,23.89
AGO,Angola,2020-07-09,23.89
AGO,Angola,2020-07-10,23.89
AGO,Angola,2020-07-11,23.89
AGO,Angola,2020-07-12,23.89
AGO,Angola,2020-07-13,23.89
AGO,Angola,2020-07-14,23.89
AGO,Angola,2020-07-15,23.89
AGO,Angola,2020-07-16,23.89
