iso_code,country,date,owid_male_smokers
MLI,Mali,2020-11-08,23.0
MLI,Mali,2020-11-09,23.0
MLI,Mali,2020-11-10,23.0
MLI,Mali,2020-11-11,23.0
MLI,Mali,2020-11-12,23.0
MLI,Mali,2020-11-13,23.0
MLI,Mali,2020-11-14,23.0
MLI,Mali,2020-11-15,23.0
MLI,Mali,2020-11-16,23.0
MLI,Mali,2020-11-17,23.0
MLI,Mali,2020-11-18,23.0
MLI,Mali,2020-11-19,23.0
MLI,Mali,2020-11-20,23.0
MLI,Mali,2020-11-21,23.0
MLI,Mali,2020-11-22,23.0
MLI,Mali,2020-11-23,23.0
MLI,Mali,2020-11-24,23.0
MLI,Mali,2020-11-25,23.0
MLI,Mali,2020-11-26,23.0
MLI,Mali,2020-11-27,23.0
MLI,Mali,2020-11-28,23.0
MLI,Mali,2020-11-29,23.0
MLI,Mali,2020-11-30,23.0
MLT,Malta,2020-01-23,30.2
MLT,Malta,2020-01-24,30.2
MLT,Malta,2020-01-25,30.2
MLT,Malta,2020-01-26,30.2
MLT,Malta,2020-01-27,30.2
MLT,Malta,2020-01-28,30.2
MLT,Malta,2020-01-29,30.2
MLT,Malta,2020-01-30,30.2
MLT,Malta,2020-01-31,30.2
MLT,Malta,2020-02-01,30.2
MLT,Malta,2020-02-02,30.2
MLT,Malta,2020-02-03,30.2
MLT,Malta,2020-02-04,30.2
MLT,Malta,2020-02-05,30.2
MLT,Malta,2020-02-06,30.2
MLT,Malta,2020-02-07,30.2
MLT,Malta,2020-02-08,30.2
MLT,Malta,2020-02-09,30.2
MLT,Malta,2020-02-10,30.2
MLT,Malta,2020-02-11,30.2
MLT,Malta,2020-02-12,30.2
MLT,Malta,2020-02-13,30.2
MLT,Malta,2020-02-14,30.2
MLT,Malta,2020-02-15,30.2
MLT,Malta,2020-02-16,30.2
MLT,Malta,2020-02-17,30.2
MLT,Malta,2020-02-18,30.2
MLT,Malta,2020-02-19,30.2
MLT,Malta,2020-02-20,30.2
MLT,Malta,2020-02-21,30.2
MLT,Malta,2020-02-22,30.2
MLT,Malta,2020-02-23,30.2
MLT,Malta,2020-02-24,30.2
MLT,Malta,2020-02-25,30.2
MLT,Malta,2020-02-26,30.2
MLT,Malta,2020-02-27,30.2
MLT,Malta,2020-02-28,30.2
MLT,Malta,2020-02-29,30.2
MLT,Malta,2020-03-01,30.2
MLT,Malta,2020-03-02,30.2
MLT,Malta,2020-03-03,30.2
MLT,Malta,2020-03-04,30.2
MLT,Malta,2020-03-05,30.2
MLT,Malta,2020-03-06,30.2
MLT,Malta,2020-03-07,30.2
MLT,Malta,2020-03-08,30.2
MLT,Malta,2020-03-09,30.2
MLT,Malta,2020-03-10,30.2
MLT,Malta,2020-03-11,30.2
MLT,Malta,2020-03-12,30.2
MLT,Malta,2020-03-13,30.2
MLT,Malta,2020-03-14,30.2
MLT,Malta,2020-03-15,30.2
MLT,Malta,2020-03-16,30.2
MLT,Malta,2020-03-17,30.2
MLT,Malta,2020-03-18,30.2
MLT,Malta,2020-03-19,30.2
MLT,Malta,2020-03-20,30.2
MLT,Malta,2020-03-21,30.2
MLT,Malta,2020-03-22,30.2
MLT,Malta,2020-03-23,30.2
MLT,Malta,2020-03-24,30.2
MLT,Malta,2020-03-25,30.2
