iso_code,country,date,google_mobility_change_retail_and_recreation
AGO,Angola,2020-03-18,-4.0
AGO,Angola,2020-03-19,-4.0
AGO,Angola,2020-03-20,-5.0
AGO,Angola,2020-03-21,-10.0
AGO,Angola,2020-03-22,-33.0
AGO,Angola,2020-03-23,-43.0
AGO,Angola,2020-03-24,-26.0
AGO,Angola,2020-03-25,-22.0
AGO,Angola,2020-03-26,-10.0
AGO,Angola,2020-03-27,-48.0
AGO,Angola,2020-03-28,-51.0
AGO,Angola,2020-03-29,-61.0
AGO,Angola,2020-03-30,-55.0
AGO,Angola,2020-03-31,-55.0
AGO,Angola,2020-04-01,-55.0
AGO,Angola,2020-04-02,-55.0
AGO,Angola,2020-04-03,-58.0
AGO,Angola,2020-04-04,-58.0
AGO,Angola,2020-04-05,-62.0
AGO,Angola,2020-04-06,-52.0
AGO,Angola,2020-04-07,-53.0
AGO,Angola,2020-04-08,-54.0
AGO,Angola,2020-04-09,-51.0
AGO,Angola,2020-04-10,-60.0
AGO,Angola,2020-04-11,-53.0
AGO,Angola,2020-04-12,-60.0
AGO,Angola,2020-04-13,-55.0
AGO,Angola,2020-04-14,-52.0
AGO,Angola,2020-04-15,-54.0
AGO,Angola,2020-04-16,-52.0
AGO,Angola,2020-04-17,-56.0
AGO,Angola,2020-04-18,-60.0
AGO,Angola,2020-04-19,-63.0
AGO,Angola,2020-04-20,-55.0
AGO,Angola,2020-04-21,-53.0
AGO,Angola,2020-04-22,-55.0
AGO,Angola,2020-04-23,-51.0
AGO,Angola,2020-04-24,-55.0
AGO,Angola,2020-04-25,-47.0
AGO,Angola,2020-04-26,-51.0
AGO,Angola,2020-04-27,-37.0
AGO,Angola,2020-04-28,-32.0
AGO,Angola,2020-04-29,-31.0
AGO,Angola,2020-04-30,-28.0
AGO,Angola,2020-05-01,-51.0
AGO,Angola,2020-05-02,-36.0
AGO,Angola,2020-05-03,-53.0
AGO,Angola,2020-05-04,-37.0
AGO,Angola,2020-05-05,-33.0
AGO,Angola,2020-05-06,-34.0
AGO,Angola,2020-05-07,-33.0
AGO,Angola,2020-05-08,-39.0
AGO,Angola,2020-05-09,-35.0
AGO,Angola,2020-05-10,-52.0
AGO,Angola,2020-05-11,-36.0
AGO,Angola,2020-05-12,-33.0
AGO,Angola,2020-05-13,-34.0
AGO,Angola,2020-05-14,-33.0
AGO,Angola,2020-05-15,-38.0
AGO,Angola,2020-05-16,-35.0
AGO,Angola,2020-05-17,-51.0
AGO,Angola,2020-05-18,-35.0
AGO,Angola,2020-05-19,-34.0
AGO,Angola,2020-05-20,-36.0
AGO,Angola,2020-05-21,-34.0
AGO,Angola,2020-05-22,-37.0
AGO,Angola,2020-05-23,-31.0
AGO,Angola,2020-05-24,-45.0
AGO,Angola,2020-05-25,-29.0
AGO,Angola,2020-05-26,-23.0
AGO,Angola,2020-05-27,-19.0
AGO,Angola,2020-05-28,-17.0
AGO,Angola,2020-05-29,-18.0
AGO,Angola,2020-05-30,-17.0
AGO,Angola,2020-05-31,-31.0
AGO,Angola,2020-06-01,-11.0
AGO,Angola,2020-06-02,-15.0
AGO,Angola,2020-06-03,-15.0
AGO,Angola,2020-06-04,-16.0
AGO,Angola,2020-06-05,-19.0
AGO,Angola,2020-06-06,-17.0
AGO,Angola,2020-06-07,-32.0
AGO,Angola,2020-06-08,-15.0
AGO,Angola,2020-06-09,-16.0
AGO,Angola,2020-06-10,-14.0
AGO,Angola,2020-06-11,-16.0
AGO,Angola,2020-06-12,-18.0
AGO,Angola,2020-06-13,-17.0
AGO,Angola,2020-06-14,-30.0
AGO,Angola,2020-06-15,-15.0
AGO,Angola,2020-06-16,-14.0
AGO,Angola,2020-06-17,-15.0
AGO,Angola,2020-06-18,-18.0
AGO,Angola,2020-06-19,-21.0
AGO,Angola,2020-06-20,-18.0
AGO,Angola,2020-06-21,-30.0
AGO,Angola,2020-06-22,-18.0
AGO,Angola,2020-06-23,-16.0
AGO,Angola,2020-06-24,-13.0
AGO,Angola,2020-06-25,-10.0
AGO,Angola,2020-06-26,-8.0
AGO,Angola,2020-06-27,-7.0
AGO,Angola,2020-06-28,-21.0
AGO,Angola,2020-06-29,-7.0
AGO,Angola,2020-06-30,-4.0
